samples,diff
1,0.0012307692307692308
2,0.002769230769230769
3,0.004923076923076923
4,0.0073846153846153844
5,0.009230769230769232
6,0.009692307692307693
7,0.010307692307692308
8,0.010923076923076923
9,0.011846153846153847
10,0.01523076923076923
11,0.016153846153846154
12,0.02076923076923077
13,0.02569230769230769
14,0.028307692307692308
15,0.03292307692307692
16,0.03307692307692308
17,0.034923076923076925
18,0.03676923076923077
19,0.039384615384615386
20,0.041692307692307695
21,0.04261538461538462
22,0.048
23,0.05046153846153846
24,0.052153846153846155
25,0.05430769230769231
26,0.05615384615384615
27,0.056769230769230766
28,0.05815384615384615
29,0.05984615384615385
30,0.06153846153846154
31,0.0643076923076923
32,0.0683076923076923
33,0.06984615384615385
34,0.07123076923076924
35,0.07307692307692308
36,0.074
37,0.07523076923076923
38,0.07769230769230769
39,0.07938461538461539
40,0.08061538461538462
41,0.08292307692307692
42,0.08569230769230769
43,0.08707692307692308
44,0.09
45,0.09461538461538462
46,0.09569230769230769
47,0.09692307692307692
48,0.09923076923076923
49,0.10076923076923076
50,0.10230769230769231
51,0.10446153846153847
52,0.10923076923076923
53,0.112
54,0.11353846153846153
55,0.116
56,0.1176923076923077
57,0.11892307692307692
58,0.12184615384615384
59,0.12507692307692309
60,0.12784615384615386
61,0.13076923076923078
62,0.13292307692307692
63,0.13538461538461538
64,0.1366153846153846
65,0.14015384615384616
66,0.1433846153846154
67,0.14476923076923076
68,0.15153846153846154
69,0.1533846153846154
70,0.15584615384615386
71,0.15846153846153846
72,0.16215384615384615
73,0.16738461538461538
74,0.16938461538461538
75,0.17123076923076924
76,0.17246153846153847
77,0.174
78,0.17753846153846153
79,0.1793846153846154
80,0.184
81,0.1890769230769231
82,0.19492307692307692
83,0.1963076923076923
84,0.2
85,0.20553846153846153
86,0.2076923076923077
87,0.21061538461538462
88,0.214
89,0.21769230769230768
90,0.21953846153846154
91,0.2216923076923077
92,0.2236923076923077
93,0.22676923076923078
94,0.228
95,0.23092307692307693
96,0.23723076923076922
97,0.24
98,0.24184615384615385
99,0.2489230769230769
100,0.2533846153846154
101,0.25553846153846155
102,0.2601538461538462
103,0.2629230769230769
104,0.26815384615384613
105,0.2733846153846154
106,0.276
107,0.2816923076923077
108,0.2855384615384615
109,0.2883076923076923
110,0.29184615384615387
111,0.2926153846153846
112,0.29523076923076924
113,0.29953846153846153
114,0.30323076923076925
115,0.3056923076923077
116,0.30953846153846154
117,0.31123076923076926
118,0.31553846153846155
119,0.32076923076923075
120,0.32476923076923075
121,0.3292307692307692
122,0.334
123,0.33584615384615385
124,0.33907692307692305
125,0.34184615384615386
126,0.3466153846153846
127,0.3533846153846154
128,0.3587692307692308
129,0.36538461538461536
130,0.36738461538461537
131,0.3756923076923077
132,0.3832307692307692
133,0.3872307692307692
134,0.39353846153846156
135,0.39815384615384614
136,0.4043076923076923
137,0.40615384615384614
138,0.4143076923076923
139,0.4193846153846154
140,0.42646153846153845
141,0.428
142,0.43215384615384617
143,0.4347692307692308
144,0.438
145,0.44661538461538464
146,0.4553846153846154
147,0.4612307692307692
148,0.4704615384615385
149,0.4803076923076923
150,0.48553846153846153
151,0.49846153846153846
152,0.502
153,0.5063076923076923
154,0.5116923076923077
155,0.5153846153846153
156,0.5235384615384615
157,0.5256923076923077
158,0.5309230769230769
159,0.5358461538461539
160,0.5421538461538462
161,0.5532307692307692
162,0.562923076923077
163,0.571076923076923
164,0.5733846153846154
165,0.5838461538461538
166,0.5901538461538461
167,0.5986153846153847
168,0.6053846153846154
169,0.6078461538461538
170,0.6121538461538462
171,0.6176923076923077
172,0.624
173,0.6341538461538462
174,0.6373846153846154
175,0.6427692307692308
176,0.6470769230769231
177,0.6543076923076923
178,0.666
179,0.6761538461538461
180,0.678
181,0.681076923076923
182,0.685076923076923
183,0.6873846153846154
184,0.695076923076923
185,0.7012307692307692
186,0.7038461538461539
187,0.7121538461538461
188,0.72
189,0.7229230769230769
190,0.732
191,0.742
192,0.7512307692307693
193,0.7543076923076923
194,0.7587692307692308
195,0.7618461538461538
196,0.7689230769230769
197,0.774
198,0.778
199,0.7892307692307692
200,0.7941538461538461
201,0.7996923076923077
202,0.8081538461538461
203,0.8093846153846154
204,0.8146153846153846
205,0.821076923076923
206,0.8227692307692308
207,0.8275384615384616
208,0.8309230769230769
209,0.836
210,0.8384615384615385
211,0.8430769230769231
212,0.8478461538461538
213,0.8573846153846154
214,0.8636923076923076
215,0.8710769230769231
216,0.8747692307692307
217,0.8761538461538462
218,0.8781538461538462
219,0.8844615384615384
220,0.8926153846153846
221,0.8984615384615384
222,0.9035384615384615
223,0.9143076923076923
224,0.9183076923076923
225,0.924
226,0.9298461538461539
227,0.9356923076923077
228,0.9404615384615385
229,0.9424615384615385
230,0.944
231,0.948
