samples,proportion,diff
1,50,0.024691358024691357
1,60,0.024691358024691357
1,70,0.024691358024691357
1,80,0.024691358024691357
1,90,0.024691358024691357
2,50,0.030864197530864196
2,60,0.030864197530864196
2,70,0.030864197530864196
2,80,0.030864197530864196
2,90,0.030864197530864196
3,50,0.05555555555555556
3,60,0.05555555555555556
3,70,0.05555555555555556
3,80,0.05555555555555556
3,90,0.05555555555555556
4,50,0.05246913580246913
4,60,0.05246913580246913
4,70,0.05246913580246913
4,80,0.06437389770723104
4,90,0.06437389770723104
5,50,0.06172839506172839
5,60,0.06172839506172839
5,70,0.06172839506172839
5,80,0.06437389770723104
5,90,0.06437389770723104
6,50,0.07098765432098765
6,60,0.07098765432098765
6,70,0.06128747795414463
6,80,0.06128747795414463
6,90,0.06437389770723104
7,50,0.07098765432098765
7,60,0.07098765432098765
7,70,0.07098765432098765
7,80,0.06128747795414463
7,90,0.060405643738977076
8,50,0.07098765432098765
8,60,0.07098765432098765
8,70,0.07054673721340388
8,80,0.05930335097001764
8,90,0.061948853615520286
9,50,0.07098765432098765
9,60,0.07098765432098765
9,70,0.06988536155202822
9,80,0.05842151675485009
9,90,0.06261022927689594
10,50,0.07098765432098765
10,60,0.06922398589065255
10,70,0.06768077601410935
10,80,0.059082892416225746
10,90,0.06591710758377424
11,50,0.06900352733686066
11,60,0.06900352733686066
11,70,0.06812169312169312
11,80,0.06900352733686066
11,90,0.06106701940035274
12,50,0.06437389770723104
12,60,0.06812169312169312
12,70,0.06900352733686066
12,80,0.07164902998236332
12,90,0.06415343915343916
13,50,0.06613756613756613
13,60,0.06547619047619048
13,70,0.070326278659612
13,80,0.07341269841269842
13,90,0.06481481481481481
14,50,0.06393298059964726
14,60,0.06768077601410935
14,70,0.07164902998236332
14,80,0.07341269841269842
14,90,0.06481481481481481
15,50,0.06613756613756613
15,60,0.06768077601410935
15,70,0.0736331569664903
15,80,0.07407407407407408
15,90,0.06481481481481481
16,50,0.06790123456790124
16,60,0.06900352733686066
16,70,0.0736331569664903
16,80,0.07341269841269842
16,90,0.06481481481481481
17,50,0.06922398589065255
17,60,0.07076719576719577
17,70,0.07297178130511464
17,80,0.07341269841269842
17,90,0.06481481481481481
18,50,0.07253086419753087
18,60,0.07208994708994709
18,70,0.07164902998236332
18,80,0.07407407407407408
18,90,0.06481481481481481
19,50,0.07649911816578484
19,60,0.07208994708994709
19,70,0.070326278659612
19,80,0.07407407407407408
19,90,0.06481481481481481
20,50,0.07716049382716049
20,60,0.07208994708994709
20,70,0.07208994708994709
20,80,0.07407407407407408
20,90,0.06481481481481481
21,50,0.07716049382716049
21,60,0.07341269841269842
21,70,0.07054673721340388
21,80,0.07407407407407408
21,90,0.07407407407407408
22,50,0.07716049382716049
22,60,0.07407407407407407
22,70,0.07098765432098765
22,80,0.07407407407407408
22,90,0.07407407407407408
23,50,0.07716049382716049
23,60,0.07671957671957672
23,70,0.07120811287477954
23,80,0.07407407407407408
23,90,0.07407407407407408
24,50,0.07716049382716049
24,60,0.07671957671957672
24,70,0.0718694885361552
24,80,0.07407407407407408
24,90,0.07605820105820107
25,50,0.07716049382716049
25,60,0.07671957671957672
25,70,0.0718694885361552
25,80,0.07407407407407408
25,90,0.07870370370370372
26,50,0.07716049382716049
26,60,0.07671957671957672
26,70,0.07253086419753087
26,80,0.07275132275132276
26,90,0.07870370370370372
27,50,0.07716049382716049
27,60,0.07671957671957672
27,70,0.07451499118165786
27,80,0.07407407407407407
27,90,0.07870370370370372
28,50,0.07716049382716049
28,60,0.07671957671957672
28,70,0.07517636684303351
28,80,0.07473544973544974
28,90,0.07936507936507937
29,50,0.07716049382716049
29,60,0.07671957671957672
29,70,0.07517636684303351
29,80,0.07671957671957672
29,90,0.07936507936507937
30,50,0.07716049382716049
30,60,0.07671957671957672
30,70,0.07848324514991181
30,80,0.0753968253968254
30,90,0.07936507936507937
31,50,0.07716049382716049
31,60,0.07671957671957672
31,70,0.07914462081128748
31,80,0.0753968253968254
31,90,0.07936507936507937
32,50,0.07716049382716049
32,60,0.07671957671957672
32,70,0.08179012345679013
32,80,0.07583774250440918
32,90,0.07936507936507937
33,50,0.07716049382716049
33,60,0.07671957671957672
33,70,0.08179012345679013
33,80,0.07451499118165786
33,90,0.07936507936507937
34,50,0.07716049382716049
34,60,0.07671957671957672
34,70,0.08179012345679013
34,80,0.07583774250440918
34,90,0.07936507936507937
35,50,0.07716049382716049
35,60,0.07848324514991181
35,70,0.08179012345679013
35,80,0.07605820105820106
35,90,0.07936507936507937
36,50,0.07716049382716049
36,60,0.07804232804232805
36,70,0.08179012345679013
36,80,0.0771604938271605
36,90,0.07936507936507937
37,50,0.07716049382716049
37,60,0.0806878306878307
37,70,0.08179012345679013
37,80,0.07782186948853616
37,90,0.07936507936507937
38,50,0.07716049382716049
38,60,0.08134920634920635
38,70,0.08179012345679013
38,80,0.07782186948853616
38,90,0.07936507936507937
39,50,0.07716049382716049
39,60,0.0806878306878307
39,70,0.08179012345679013
39,80,0.07782186948853616
39,90,0.07936507936507937
40,50,0.07716049382716049
40,60,0.08112874779541446
40,70,0.08179012345679013
40,80,0.07782186948853616
40,90,0.07936507936507937
41,50,0.08046737213403879
41,60,0.08112874779541446
41,70,0.08179012345679013
41,80,0.07914462081128748
41,90,0.07936507936507937
42,50,0.08179012345679013
42,60,0.08112874779541446
42,70,0.08179012345679013
42,80,0.08112874779541446
42,90,0.07936507936507937
43,50,0.08443562610229276
43,60,0.0806878306878307
43,70,0.08179012345679013
43,80,0.08112874779541446
43,90,0.07936507936507937
44,50,0.08641975308641975
44,60,0.08112874779541446
44,70,0.08179012345679013
44,80,0.08179012345679013
44,90,0.07936507936507937
45,50,0.08641975308641975
45,60,0.08179012345679013
45,70,0.08179012345679013
45,80,0.07980599647266315
45,90,0.07936507936507937
46,50,0.08641975308641975
46,60,0.08112874779541446
46,70,0.08179012345679013
46,80,0.08245149911816578
46,90,0.07936507936507937
47,50,0.08641975308641975
47,60,0.08179012345679013
47,70,0.08179012345679013
47,80,0.08245149911816578
47,90,0.07936507936507937
48,50,0.08641975308641975
48,60,0.08112874779541446
48,70,0.08179012345679013
48,80,0.08245149911816578
48,90,0.08112874779541447
49,50,0.08641975308641975
49,60,0.08112874779541446
49,70,0.08179012345679013
49,80,0.08245149911816578
49,90,0.08245149911816581
50,50,0.08641975308641975
50,60,0.08179012345679013
50,70,0.08179012345679013
50,80,0.08245149911816578
50,90,0.08245149911816581
51,50,0.08641975308641975
51,60,0.08443562610229277
51,70,0.08179012345679013
51,80,0.08245149911816578
51,90,0.08112874779541447
52,50,0.08641975308641975
52,60,0.08443562610229276
52,70,0.08179012345679013
52,80,0.08245149911816578
52,90,0.08156966490299825
53,50,0.08641975308641975
53,60,0.08641975308641975
53,70,0.08245149911816578
53,80,0.08245149911816578
53,90,0.08289241622574957
54,50,0.08641975308641975
54,60,0.08641975308641975
54,70,0.08179012345679013
54,80,0.0837742504409171
54,90,0.08355379188712522
55,50,0.08641975308641975
55,60,0.08641975308641975
55,70,0.08179012345679013
55,80,0.0855379188712522
55,90,0.08355379188712522
56,50,0.08641975308641975
56,60,0.08641975308641975
56,70,0.08245149911816578
56,80,0.0855379188712522
56,90,0.083994708994709
57,50,0.08641975308641975
57,60,0.08641975308641975
57,70,0.08179012345679013
57,80,0.0855379188712522
57,90,0.08333333333333333
58,50,0.08641975308641975
58,60,0.08641975308641975
58,70,0.08245149911816578
58,80,0.08686067019400354
58,90,0.08509700176366844
59,50,0.08641975308641975
59,60,0.08641975308641975
59,70,0.08245149911816578
59,80,0.08862433862433863
59,90,0.08509700176366844
60,50,0.08641975308641975
60,60,0.08641975308641975
60,70,0.08245149911816578
60,80,0.08862433862433863
60,90,0.08377425044091712
61,50,0.08641975308641975
61,60,0.08575837742504408
61,70,0.08245149911816578
61,80,0.08531746031746032
61,90,0.08311287477954143
62,50,0.08641975308641975
62,60,0.08575837742504408
62,70,0.08509700176366843
62,80,0.08531746031746032
62,90,0.08267195767195767
63,50,0.08641975308641975
63,60,0.08575837742504408
63,70,0.0855379188712522
63,80,0.08531746031746032
63,90,0.08355379188712522
64,50,0.08641975308641975
64,60,0.08575837742504408
64,70,0.0855379188712522
64,80,0.08531746031746032
64,90,0.08311287477954143
65,50,0.08641975308641975
65,60,0.08575837742504408
65,70,0.0855379188712522
65,80,0.08531746031746032
65,90,0.08355379188712522
66,50,0.08641975308641975
66,60,0.08575837742504408
66,70,0.08597883597883599
66,80,0.08531746031746032
66,90,0.08267195767195767
67,50,0.08641975308641975
67,60,0.08575837742504408
67,70,0.09060846560846561
67,80,0.08531746031746032
67,90,0.08443562610229279
68,50,0.08641975308641975
68,60,0.08575837742504408
68,70,0.08928571428571429
68,80,0.08531746031746032
68,90,0.08619929453262787
69,50,0.08641975308641975
69,60,0.08575837742504408
69,70,0.09126984126984128
69,80,0.08531746031746032
69,90,0.08796296296296297
70,50,0.08641975308641975
70,60,0.08575837742504408
70,70,0.09126984126984128
70,80,0.08531746031746032
70,90,0.08840388007054674
71,50,0.08641975308641975
71,60,0.08575837742504408
71,70,0.09325396825396826
71,80,0.08531746031746032
71,90,0.08884479717813051
72,50,0.08641975308641975
72,60,0.08752204585537918
72,70,0.09325396825396826
72,80,0.08531746031746032
72,90,0.08884479717813051
73,50,0.08641975308641975
73,60,0.08664021164021164
73,70,0.09325396825396826
73,80,0.08531746031746032
73,90,0.08884479717813051
74,50,0.08641975308641975
74,60,0.08884479717813051
74,70,0.09325396825396826
74,80,0.0857583774250441
74,90,0.08884479717813051
75,50,0.08641975308641975
75,60,0.08884479717813051
75,70,0.09325396825396826
75,80,0.08752204585537918
75,90,0.08884479717813051
76,50,0.08641975308641975
76,60,0.08884479717813051
76,70,0.09325396825396826
76,80,0.08796296296296297
76,90,0.08884479717813051
77,50,0.08641975308641975
77,60,0.09149029982363316
77,70,0.09325396825396826
77,80,0.08884479717813051
77,90,0.08928571428571429
78,50,0.08641975308641975
78,60,0.09060846560846561
78,70,0.09325396825396826
78,80,0.09016754850088184
78,90,0.08972663139329808
79,50,0.08641975308641975
79,60,0.09193121693121693
79,70,0.09325396825396826
79,80,0.09237213403880071
79,90,0.08972663139329808
80,50,0.08641975308641975
80,60,0.09193121693121693
80,70,0.09325396825396826
80,80,0.09237213403880071
80,90,0.08972663139329808
81,50,0.08641975308641975
81,60,0.09193121693121693
81,70,0.09325396825396826
81,80,0.09237213403880071
81,90,0.08972663139329808
82,50,0.08641975308641975
82,60,0.09193121693121693
82,70,0.09325396825396826
82,80,0.09237213403880071
82,90,0.09104938271604938
83,50,0.08641975308641975
83,60,0.09193121693121693
83,70,0.09325396825396826
83,80,0.09237213403880071
83,90,0.09303350970017638
84,50,0.08641975308641975
84,60,0.09193121693121693
84,70,0.09325396825396826
84,80,0.09237213403880071
84,90,0.09567901234567902
85,50,0.08774250440917106
85,60,0.09193121693121693
85,70,0.09325396825396826
85,80,0.09237213403880071
85,90,0.09567901234567902
86,50,0.08818342151675485
86,60,0.09193121693121693
86,70,0.0941358024691358
86,80,0.09369488536155203
86,90,0.09501763668430337
87,50,0.09082892416225749
87,60,0.09193121693121693
87,70,0.09457671957671958
87,80,0.09435626102292768
87,90,0.09501763668430337
88,50,0.09259259259259259
88,60,0.09193121693121693
88,70,0.09634038800705469
88,80,0.09369488536155203
88,90,0.09501763668430337
89,50,0.09259259259259259
89,60,0.09193121693121693
89,70,0.09722222222222224
89,80,0.09435626102292768
89,90,0.09501763668430337
90,50,0.09259259259259259
90,60,0.09259259259259259
90,70,0.09898589065255733
90,80,0.09435626102292768
90,90,0.09435626102292771
91,50,0.09391534391534391
91,60,0.09193121693121693
91,70,0.09942680776014111
91,80,0.09567901234567901
91,90,0.09567901234567902
92,50,0.09479717813051144
92,60,0.09259259259259259
92,70,0.09942680776014111
92,80,0.09567901234567901
92,90,0.09567901234567902
93,50,0.09832451499118164
93,60,0.09193121693121693
93,70,0.09942680776014111
93,80,0.09766313932980598
