samples,proportion,diff
1,50,0.0
1,60,0.0
1,70,0.0
1,80,0.0
1,90,0.0
2,50,0.0
2,60,0.0
2,70,0.0
2,80,0.0
2,90,0.0
3,50,0.0
3,60,0.0
3,70,0.0
3,80,0.0
3,90,0.0
4,50,0.0
4,60,0.0
4,70,0.0
4,80,0.0
4,90,0.0
5,50,0.0
5,60,0.0
5,70,0.0
5,80,0.0
5,90,0.0
6,50,0.0
6,60,0.0
6,70,0.0
6,80,0.0
6,90,0.0
7,50,0.0
7,60,0.0
7,70,0.0
7,80,0.0
7,90,0.0
8,50,0.0
8,60,0.0
8,70,0.0
8,80,0.0
8,90,0.0
9,50,0.0
9,60,0.0
9,70,0.0
9,80,0.0
9,90,0.0
10,50,0.0
10,60,0.0
10,70,0.0
10,80,0.0
10,90,0.0
11,50,0.0
11,60,0.0
11,70,0.0
11,80,0.0
11,90,0.0
12,50,0.0
12,60,0.0
12,70,0.0
12,80,0.0
12,90,0.0
13,50,0.0
13,60,0.0
13,70,0.0
13,80,0.0
13,90,0.0
14,50,0.0
14,60,0.0
14,70,0.0
14,80,0.0
14,90,0.0
15,50,0.0
15,60,0.0
15,70,0.0
15,80,0.0
15,90,0.0
16,50,0.0
16,60,0.0
16,70,0.0
16,80,0.0
16,90,0.0
17,50,0.0
17,60,0.0
17,70,0.0
17,80,0.0
17,90,0.0
18,50,0.0
18,60,0.0
18,70,0.0
18,80,0.0
18,90,0.0
19,50,0.0
19,60,0.0
19,70,0.0
19,80,0.0
19,90,0.0
20,50,0.0
20,60,0.0
20,70,0.0
20,80,0.0
20,90,0.0
21,50,0.0
21,60,0.0
21,70,0.0
21,80,0.0
21,90,0.0
22,50,0.0
22,60,0.0
22,70,0.0
22,80,0.0
22,90,0.0
23,50,0.0
23,60,0.0
23,70,0.0
23,80,0.0
23,90,0.0
24,50,0.0
24,60,0.0
24,70,0.0
24,80,0.0
24,90,0.0
25,50,0.0
25,60,0.0
25,70,0.0
25,80,0.0
25,90,0.0
26,50,0.0
26,60,0.0
26,70,0.0
26,80,0.0
26,90,0.0
27,50,0.0
27,60,0.0
27,70,0.0
27,80,0.0
27,90,0.0
28,50,0.0
28,60,0.0
28,70,0.0
28,80,0.0
28,90,0.0
29,50,0.0
29,60,0.0
29,70,0.0
29,80,0.0
29,90,0.0
30,50,0.0
30,60,0.0
30,70,0.0
30,80,0.0
30,90,0.0
31,50,0.0
31,60,0.0
31,70,0.0
31,80,0.0
31,90,0.0
32,50,0.0
32,60,0.0
32,70,0.0
32,80,0.0
32,90,0.0
33,50,0.0
33,60,0.0
33,70,0.0
33,80,0.0
33,90,0.0
34,50,0.0
34,60,0.0
34,70,0.0
34,80,0.0
34,90,0.0
35,50,0.0
35,60,0.0
35,70,0.0
35,80,0.0
35,90,0.0
36,50,0.0
36,60,0.0
36,70,0.0
36,80,0.0
36,90,0.001763668430335097
37,50,0.0
37,60,0.0
37,70,0.0
37,80,0.0
37,90,0.0030864197530864196
38,50,0.0
38,60,0.0
38,70,0.0
38,80,0.0
38,90,0.006172839506172839
39,50,0.0
39,60,0.0
39,70,0.0
39,80,0.0
39,90,0.006172839506172839
40,50,0.0
40,60,0.0
40,70,0.0
40,80,0.0008818342151675485
40,90,0.006613756613756614
41,50,0.0
41,60,0.0
41,70,0.0
41,80,0.0013227513227513227
41,90,0.006172839506172839
42,50,0.0
42,60,0.0
42,70,0.0
42,80,0.0030864197530864196
42,90,0.009259259259259259
43,50,0.0
43,60,0.0
43,70,0.0
43,80,0.006172839506172839
43,90,0.009700176366843033
44,50,0.0
44,60,0.0
44,70,0.0
44,80,0.006172839506172839
44,90,0.009700176366843033
45,50,0.0
45,60,0.0
45,70,0.0
45,80,0.006172839506172839
45,90,0.010141093474426807
46,50,0.0
46,60,0.0
46,70,0.002204585537918871
46,80,0.006172839506172839
46,90,0.010582010582010581
47,50,0.0
47,60,0.0
47,70,0.0008818342151675485
47,80,0.009259259259259259
47,90,0.010582010582010581
48,50,0.0
48,60,0.0
48,70,0.0030864197530864196
48,80,0.009259259259259259
48,90,0.010582010582010581
49,50,0.0
49,60,0.0
49,70,0.006172839506172839
49,80,0.009259259259259259
49,90,0.010582010582010581
50,50,0.0
50,60,0.0
50,70,0.006172839506172839
50,80,0.009259259259259259
50,90,0.010582010582010581
51,50,0.0
51,60,0.0
51,70,0.006172839506172839
51,80,0.009259259259259259
51,90,0.010582010582010581
52,50,0.0
52,60,0.0
52,70,0.006172839506172839
52,80,0.009259259259259259
52,90,0.011904761904761904
53,50,0.0
53,60,0.0
