samples,proportion,diff
1,50,0.005291005291005291
1,60,0.005291005291005291
1,70,0.005291005291005291
1,80,0.005291005291005291
1,90,0.005291005291005291
2,50,0.009259259259259259
2,60,0.009259259259259259
2,70,0.009259259259259259
2,80,0.009259259259259259
2,90,0.009259259259259259
3,50,0.009920634920634922
3,60,0.009920634920634922
3,70,0.009920634920634922
3,80,0.009920634920634922
3,90,0.009920634920634922
4,50,0.009259259259259259
4,60,0.009259259259259259
4,70,0.009259259259259259
4,80,0.009920634920634922
4,90,0.009920634920634922
5,50,0.009920634920634922
5,60,0.009920634920634922
5,70,0.009920634920634922
5,80,0.011243386243386243
5,90,0.011684303350970019
6,50,0.009259259259259259
6,60,0.009259259259259259
6,70,0.012125220458553793
6,80,0.011684303350970019
6,90,0.013447971781305116
7,50,0.011463844797178132
7,60,0.011022927689594356
7,70,0.010141093474426807
7,80,0.01300705467372134
7,90,0.013447971781305116
8,50,0.012345679012345678
8,60,0.012345679012345678
8,70,0.01300705467372134
8,80,0.013447971781305116
8,90,0.013447971781305116
9,50,0.014550264550264551
9,60,0.013668430335097001
9,70,0.01300705467372134
9,80,0.013447971781305116
9,90,0.013447971781305116
10,50,0.02777777777777778
10,60,0.027557319223985893
10,70,0.027116402116402115
10,80,0.026675485008818344
10,90,0.026675485008818344
11,50,0.02601410934744268
11,60,0.026455026455026457
11,70,0.027998236331569667
11,80,0.027116402116402115
11,90,0.026675485008818344
12,50,0.025132275132275134
12,60,0.027116402116402115
12,70,0.027116402116402115
12,80,0.026675485008818344
12,90,0.033730158730158735
13,50,0.025132275132275134
13,60,0.025132275132275134
13,70,0.027116402116402115
13,80,0.033730158730158735
13,90,0.03571428571428571
14,50,0.025132275132275134
14,60,0.025793650793650792
14,70,0.026234567901234566
14,80,0.03571428571428571
14,90,0.03637566137566138
15,50,0.025132275132275134
15,60,0.025793650793650792
15,70,0.031525573192239864
15,80,0.03571428571428571
15,90,0.03637566137566138
16,50,0.025132275132275134
16,60,0.025793650793650792
16,70,0.03571428571428571
16,80,0.03615520282186949
16,90,0.03637566137566138
17,50,0.025132275132275134
17,60,0.03218694885361552
17,70,0.034832451499118164
17,80,0.03659611992945327
17,90,0.03637566137566138
18,50,0.025132275132275134
18,60,0.031525573192239864
18,70,0.0343915343915344
18,80,0.03615520282186949
18,90,0.03637566137566138
19,50,0.03284832451499119
19,60,0.034832451499118164
19,70,0.0343915343915344
19,80,0.036816578483245155
19,90,0.03637566137566138
20,50,0.03791887125220458
20,60,0.034832451499118164
20,70,0.0343915343915344
20,80,0.036816578483245155
20,90,0.03637566137566138
21,50,0.04188712522045855
21,60,0.034832451499118164
21,70,0.0343915343915344
21,80,0.0359347442680776
21,90,0.03637566137566138
22,50,0.043209876543209874
22,60,0.034832451499118164
22,70,0.0343915343915344
22,80,0.0359347442680776
22,90,0.03637566137566138
23,50,0.043871252204585535
23,60,0.0412257495590829
23,70,0.0343915343915344
23,80,0.0359347442680776
23,90,0.03637566137566138
24,50,0.043209876543209874
24,60,0.04320987654320988
24,70,0.0343915343915344
24,80,0.035493827160493825
24,90,0.03637566137566138
25,50,0.043871252204585535
25,60,0.04254850088183421
25,70,0.0343915343915344
25,80,0.03637566137566138
25,90,0.03637566137566138
26,50,0.043209876543209874
26,60,0.043871252204585535
26,70,0.03505291005291006
26,80,0.03505291005291006
26,90,0.03637566137566138
27,50,0.043871252204585535
27,60,0.04343033509700177
27,70,0.0343915343915344
27,80,0.03505291005291006
27,90,0.03637566137566138
28,50,0.043209876543209874
28,60,0.043871252204585535
28,70,0.0343915343915344
28,80,0.03505291005291006
28,90,0.03637566137566138
29,50,0.043871252204585535
29,60,0.04343033509700177
29,70,0.03505291005291006
29,80,0.03505291005291006
29,90,0.03637566137566138
30,50,0.043209876543209874
30,60,0.04343033509700177
30,70,0.03505291005291006
30,80,0.03505291005291006
30,90,0.03637566137566138
31,50,0.043871252204585535
31,60,0.043871252204585535
31,70,0.042107583774250446
31,80,0.03505291005291006
31,90,0.03725749559082893
32,50,0.043209876543209874
32,60,0.04343033509700177
32,70,0.042107583774250446
32,80,0.03505291005291006
32,90,0.03725749559082893
33,50,0.043871252204585535
33,60,0.04343033509700177
33,70,0.04276895943562611
33,80,0.03505291005291006
33,90,0.03725749559082893
34,50,0.043209876543209874
34,60,0.04343033509700177
34,70,0.04409171075837743
34,80,0.03505291005291006
34,90,0.036816578483245155
35,50,0.043209876543209874
35,60,0.04343033509700177
35,70,0.04409171075837743
35,80,0.03505291005291006
35,90,0.036816578483245155
36,50,0.043209876543209874
36,60,0.04343033509700177
36,70,0.04409171075837743
36,80,0.03505291005291006
36,90,0.036816578483245155
37,50,0.043209876543209874
37,60,0.04343033509700177
37,70,0.04409171075837743
37,80,0.03505291005291006
37,90,0.036816578483245155
38,50,0.043209876543209874
38,60,0.04343033509700177
38,70,0.04409171075837743
38,80,0.03505291005291006
38,90,0.036816578483245155
39,50,0.043209876543209874
39,60,0.04343033509700177
39,70,0.04409171075837743
39,80,0.03505291005291006
39,90,0.036816578483245155
40,50,0.043209876543209874
40,60,0.04343033509700177
40,70,0.04409171075837743
40,80,0.03505291005291006
40,90,0.036816578483245155
41,50,0.043209876543209874
41,60,0.04343033509700177
41,70,0.04409171075837743
41,80,0.03505291005291006
41,90,0.035493827160493825
42,50,0.043209876543209874
42,60,0.04343033509700177
