samples,diff
1,78.54385026737968
2,78.54385026737968
3,78.54385026737968
4,78.54392796745738
5,78.54392796745738
6,78.54392796745738
7,78.54392568216097
8,78.54392568216097
9,78.54384798208328
10,78.54384798208328
11,78.54384798208326
12,78.54377028200558
13,78.54377028200558
14,78.54377028200558
15,78.54369486722427
16,78.54361716714656
17,78.54377256730199
18,78.54369486722427
19,78.54369486722427
20,78.54377028200558
21,78.54377028200558
22,78.54384798208328
23,78.54377028200558
24,78.54369486722429
25,78.54369486722429
26,78.54361716714659
27,78.54361716714659
28,78.54377256730199
29,78.54377256730199
30,78.54385026737967
31,78.54385026737967
32,78.54377256730199
33,78.54392568216096
34,78.54392568216096
35,78.54384798208326
36,78.54384798208326
37,78.54384798208326
38,78.54384798208326
39,78.54369258192789
40,78.54353946706888
41,78.54353946706888
42,78.54377256730199
43,78.54384798208326
44,78.54384798208326
45,78.54377028200558
46,78.54377028200558
47,78.54369258192787
48,78.54400566753507
49,78.54400566753507
50,78.54400566753507
51,78.54400566753507
52,78.54400566753507
53,78.54400566753507
54,78.54400566753507
55,78.54369486722429
56,78.54361945244298
57,78.54361945244298
58,78.54369715252068
59,78.54369715252068
60,78.54369715252068
61,78.54377256730199
62,78.54377256730199
63,78.54377256730199
64,78.54377485259837
65,78.54385026737968
66,78.54385026737968
67,78.54369486722427
68,78.54369486722427
69,78.54369486722427
70,78.54361716714658
71,78.54361716714658
72,78.54369258192789
73,78.54369258192789
74,78.54361488185017
75,78.54361488185017
76,78.54369258192789
77,78.5437702820056
78,78.5440010969423
79,78.5440010969423
80,78.54392568216099
81,78.54400338223869
82,78.54415649709767
83,78.54415649709767
84,78.54423419717537
85,78.54415878239408
86,78.54423419717538
87,78.54438731203437
88,78.54438731203437
89,78.54454042689336
90,78.54454042689336
91,78.54454042689336
92,78.54438502673797
93,78.54446272681568
94,78.54446272681568
95,78.54454042689339
96,78.54454042689339
97,78.54454042689339
98,78.54438731203439
99,78.54430961195666
100,78.54430961195666
101,78.54423419717538
102,78.54423419717538
103,78.54423419717538
104,78.54423419717538
105,78.54408108231637
106,78.54408108231637
107,78.54408108231637
108,78.54400338223869
109,78.54400109694228
110,78.54392339686459
111,78.54400109694228
112,78.54400109694228
113,78.54400109694228
114,78.54400109694228
115,78.54392339686456
116,78.54392339686456
117,78.54392339686459
118,78.54384798208326
119,78.54377028200558
120,78.54377028200558
121,78.54377028200558
122,78.54377028200558
123,78.54377028200558
124,78.54377028200558
125,78.54377028200558
126,78.54369258192789
127,78.54361716714659
128,78.54361716714659
129,78.54338406691346
130,78.54338406691349
131,78.54338406691349
132,78.54346176699119
133,78.54346176699119
134,78.54353946706888
135,78.54338406691349
136,78.54346176699119
137,78.54353946706888
138,78.54361716714659
139,78.54353946706888
140,78.54353946706888
141,78.54353946706888
142,78.54346176699119
143,78.5433863522099
144,78.5433863522099
145,78.5433863522099
146,78.5432332373509
147,78.54323095205449
148,78.54323095205449
149,78.54323095205449
150,78.54323095205449
151,78.54330636683581
152,78.54322866675808
153,78.54315096668039
154,78.54307555189908
155,78.54268705151058
156,78.5426116367293
157,78.54253622194798
158,78.5426093514329
159,78.5426093514329
160,78.5424539512775
161,78.54230083641849
162,78.54206773618539
163,78.54230083641849
164,78.5419900361077
165,78.54206773618539
166,78.5419900361077
167,78.54207002148179
168,78.5416815210933
169,78.5416815210933
170,78.5415261209379
171,78.5413730060789
172,78.5416838063897
173,78.54152840623429
174,78.5416838063897
175,78.541606106312
176,78.541606106312
177,78.54160610631199
178,78.5414507061566
179,78.5413730060789
180,78.5413730060789
181,78.5411421911422
182,78.54106677636089
183,78.5413775766717
184,78.541299876594
185,78.5412221765163
186,78.5412221765163
187,78.5412221765163
188,78.54137529137529
189,78.54129759129759
190,78.5412221765163
191,78.541299876594
192,78.5409890762832
193,78.54114447643859
194,78.54091137620549
195,78.54091137620549
196,78.5409913615796
197,78.5408359614242
198,78.54068056126879
199,78.5409136615019
200,78.5407582613465
201,78.5408359614242
202,78.5406828465652
203,78.54076054664289
204,78.5405274464098
205,78.5406051464875
206,78.5406051464875
207,78.5406051464875
208,78.5406828465652
209,78.54030348736231
210,78.54014580191051
211,78.54022350198821
212,78.5402257872846
213,78.54014808720692
214,78.5402257872846
215,78.5398372868961
216,78.5397618721148
217,78.53945335710041
218,78.53953105717811
219,78.53945335710041
220,78.53953105717811
221,78.53929795694502
222,78.5393756570227
223,78.53953105717811
224,78.53945335710041
225,78.53953105717811
226,78.53945335710041
227,78.5393756570227
228,78.5396064719594
229,78.5397618721148
230,78.5395310571781
231,78.53922482746012
232,78.5391471273824
233,78.5391471273824
234,78.53945564239682
