samples,diff
1,0.0023514710891485513
2,0.0017061324101614506
3,0.002248770740441726
4,0.0034953871703934983
5,0.003979984129201803
6,0.005613720132376905
7,0.006409029155262571
8,0.004846578763792445
9,0.0048518017269142955
10,0.007117494014839383
11,0.006037509858006779
12,0.006513081373351904
13,0.006166611529619974
14,0.006643909506412442
15,0.006687067333763705
16,0.008114562589003515
17,0.007952560793042258
18,0.006237535530173251
19,0.006856926291005728
20,0.006254383828218192
21,0.0075857118428918745
22,0.007890525936364214
23,0.00633542923218672
24,0.009052561517933535
25,0.009092120850721351
26,0.008322187658604157
27,0.0077675651638733365
28,0.007921397329430434
29,0.007874484309349988
30,0.009987231769851763
31,0.010861469380656396
32,0.01008326178362186
33,0.011106379341621475
34,0.01144396004147817
35,0.01079862136249107
36,0.012861688086789776
37,0.01138028309928818
38,0.012747606258885238
39,0.011583178480466213
40,0.01343906519504329
41,0.01425325124725574
42,0.012544850886127477
43,0.014852635639318436
44,0.013063189874221646
45,0.013116469104988163
46,0.015180262760422591
47,0.013159357114787771
48,0.014908183748259847
49,0.014951341575611109
50,0.015512736398167597
51,0.01577613303385724
52,0.014777296273882107
53,0.01610862428855579
54,0.016147655112737275
55,0.014387668602798914
56,0.015116785167970076
57,0.015521432682761929
58,0.016219943963586197
59,0.016166274378217462
60,0.017903474749558362
61,0.018663256867601702
62,0.018356503054823326
63,0.018959010283703774
64,0.01873681135748157
65,0.018699446726222146
66,0.019994716545822928
67,0.01881390221898344
68,0.020092419242971653
69,0.01908652364787374
70,0.020309094790653674
71,0.020342227644230135
72,0.020188258251877006
73,0.020800017162992467
74,0.022281995165088296
75,0.022448208340154728
76,0.022570147329340033
77,0.02339526794645502
78,0.02377600647366298
79,0.023094388924079633
80,0.02414426848892923
81,0.02410821029385633
82,0.02500382283255872
83,0.025395446782640906
84,0.024511623694691998
85,0.026771551529975766
86,0.024496802273512735
87,0.026224755598659028
88,0.02628979368231234
89,0.02543983316069986
90,0.025811222648824274
91,0.024715194083353202
92,0.025648493921727297
93,0.025266857857096654
94,0.02725569879286465
95,0.027659086231874037
96,0.026436480782395095
97,0.02817349014887125
98,0.026972990267258107
99,0.027995073988247094
100,0.02766613579491601
101,0.02997688019630242
102,0.028791908268426463
103,0.028684060060452377
104,0.029225433678909785
105,0.03118431837598778
106,0.02936616161265415
107,0.031069202711072615
108,0.030512548898637408
109,0.031977189964029464
110,0.03304218394781201
111,0.033953686978611376
112,0.03295834672031074
113,0.034227860553829724
114,0.03479554370159347
115,0.03447277051479481
116,0.03558007578495041
117,0.03498088610658478
118,0.03532225259703734
119,0.03572200167153579
120,0.03656699143062452
121,0.03458507210318329
122,0.037289704696786365
123,0.03495475831006239
124,0.03772689628802307
125,0.03616167818043032
126,0.03554938056141964
127,0.03716387626490179
128,0.038769484483723186
129,0.03702938195108787
130,0.03804210828812058
131,0.037755761398003095
132,0.03809350992252251
133,0.038992095090333474
134,0.03886126695727293
135,0.03784405200591875
136,0.03947007271064951
137,0.03934936598100423
138,0.038710285029357694
139,0.038138744695975835
140,0.038266614108049005
141,0.03834466833874733
142,0.039721975674963605
143,0.040158594251606075
144,0.0423072144655645
145,0.04175186225807371
146,0.04156408871349327
147,0.041929598775174284
148,0.04271904691577818
149,0.042547255656894774
150,0.0427723261465447
151,0.04480260401146511
152,0.04585458277541072
153,0.04642270449259689
154,0.04496430353759186
155,0.045593263085823156
156,0.04484359680794658
157,0.044712768674886036
158,0.0465127753400286
159,0.04499595100382211
160,0.0442757226553181
161,0.047023085633346964
162,0.046683964840867266
163,0.04694539950425691
164,0.04844878766815758
165,0.04883532217308162
166,0.04891210705591666
167,0.04891287107537564
168,0.04946676663897075
169,0.04852863048324469
170,0.04942360881161948
171,0.0496955505969862
172,0.05092302018005953
173,0.04872250042095955
174,0.05027606166855444
175,0.05003101448079333
176,0.05044991040217021
177,0.052490309670505865
178,0.05279292906244981
179,0.0523354705569725
180,0.0528270614463379
181,0.05109907752332492
182,0.05269623331327735
183,0.0514993996124176
184,0.05308099685076615
185,0.0528270614463379
186,0.05166752469054762
187,0.05368440532590161
188,0.05365060488250662
189,0.052471921279837914
190,0.05325085580800817
191,0.051866248562567975
192,0.05189025954304081
193,0.054249657334076225
194,0.05392532087445253
195,0.05299918371850632
196,0.05483408678699595
197,0.05398422825827241
198,0.05550278647359091
199,0.05625843417079981
200,0.05835290079677107
201,0.05864086659219847
202,0.05785228446394249
203,0.0584962508749693
204,0.05657790186078871
205,0.058573799777263326
206,0.056779653994402525
207,0.05909039839578893
208,0.058372047643649505
209,0.058040058008522924
210,0.05854067434135151
211,0.059476932900712966
212,0.05838583522781814
213,0.058404302431173
214,0.059591014728617504
215,0.058647095576088513
216,0.05889863043879434
217,0.05889863043879434
218,0.05877792370914905
219,0.059278540041977634
220,0.06122123661316455
221,0.06122123661316455
222,0.06109040848010402
223,0.05977286804959897
224,0.06221618095361448
225,0.06143411617096182
226,0.061554822900607105
227,0.06254347891584978
228,0.06386101934635482
229,0.06319091957555714
230,0.06344245443826296
231,0.06417957559079981
232,0.06625938862025452
233,0.06625938862025452
234,0.0655568829270161
235,0.06543617619737081
236,0.06777339887993433
237,0.06856139667189741
238,0.06712314951174707
239,0.06699232137868653
240,0.06884533745704398
241,0.06814912008901279
242,0.06814912008901279
243,0.06877427622969466
244,0.0698402817974939
245,0.06997110993055443
246,0.07009181666019972
247,0.06913777610425548
248,0.0709597659457971
249,0.06951139738223153
250,0.07094964454238185
251,0.07025726025255868
252,0.07145409395341844
253,0.07012643211949815
254,0.0714439725500032
255,0.07157480068306374
256,0.07194842196103979
257,0.07138303272606915
258,0.07113149786336333
259,0.07256974502351365
260,0.07126232599642386
261,0.07162582587098465
262,0.0717566540040452
263,0.07306407303113498
264,0.0729433663014897
265,0.07162582587098465
266,0.0717566540040452
267,0.07224086060825127
268,0.07368922917181686
269,0.07237168874131182
270,0.07355840103875633
271,0.07237168874131182
272,0.07355840103875633
273,0.07355840103875633
274,0.072120153878606
275,0.07224086060825127
276,0.072120153878606
277,0.07368922917181686
278,0.07356852244217157
279,0.07356852244217157
280,0.0728723050741404
281,0.07418984550464544
282,0.0728723050741404
283,0.0741999669080607
284,0.07456346678262149
285,0.07456346678262149
286,0.07481500164532731
287,0.07456346678262149
288,0.07456346678262149
289,0.07336663308176174
290,0.07324592635211645
291,0.07469429491568204
292,0.07423458236735912
293,0.07580365766057
294,0.07448611723006494
295,0.07435528909700441
296,0.07485973850804102
297,0.07536035484086959
298,0.07679860200101993
299,0.07549118297393012
300,0.07679860200101993
301,0.07680872340443519
302,0.07639988749553848
303,0.07754130567821246
304,0.07817275014410156
305,0.07962111870766717
306,0.07879790628478345
307,0.07941922934725731
308,0.07955005748031786
309,0.08061606304811708
