Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov
0,No valid vote,1550908
1,Slovenská ľudová strana Andreja Hlinku,8191
2,DOBRÁ VOĽBA,88220
3,Sloboda a Solidarita,179246
4,SME RODINA,237531
5,Slovenské Hnutie Obrody,1966
6,ZA ĽUDÍ,166325
7,MÁME TOHO DOSŤ !,9260
9,Slovenská národná strana,91171
10,Demokratická strana,4194
11,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA",721166
12,Koalícia Progresívne Slovensko a SPOLU - občianska demokracia,200780
13,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,2018
14,99 % - občiansky hlas,991
15,Kresťanskodemokratické hnutie,134099
16,Slovenská liga,809
17,VLASŤ,84507
18,MOST - HÍD,59174
19,SMER - sociálna demokracia,527172
20,SOLIDARITA - Hnutie pracujúcej chudoby,3296
21,HLAS ĽUDU,1887
22,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,112662
23,Práca slovenského národa,1261
24,Kotlebovci - Ľudová strana Naše Slovensko,229660
25,Socialisti.sk,15925
