Subject Number,Subject Name,Valid Votes
0,No valid vote,1832984
1,EDS,10332
2,Únia,17741
3,SRK,6947
4,Paliho Kapurková,14576
5,SaS,307287
6,SDĽ,61137
7,SMK - MKP,109638
8,ĽS - HZDS,109480
9,KSS,21104
10,SNS,128490
11,ND,7962
12,ZRS,6196
13,KDH,215755
14,ĽSNS,33724
15,SDKÚ - DS,390042
16,AZEN,3325
17,SMER,880111
18,MOST - HÍD,205538
