Subject Number,Subject Name,Valid Votes
0,No valid vote,664015
1,Hnutie za demokratické Slovensko,907103
2,Maďarské ľudové hnutie za zmierenie a prosperitu -Magyar Népi Mozgalom a Megbékélésért és a Jólétért,6587
3,Národná alternatíva Slovenska,3034
4,Strana maďarskej koalície - Magyar Koalíció Pártja,306623
5,Naše Slovensko,16192
6,Béčko - Revolučná robotnícka strana,4391
7,Strana občianskeho porozumenia,269343
8,Slovenská demokratická koalícia,884497
9,Slovenská národná strana,304839
10,Nezávislá iniciatíva (NEI) Slovenskej republiky,6232
11,Slovenská ľudová strana,9227
12,Hnutie tretej cesty,2515
13,Strana demokratickej ľavice,492507
14,Komunistická strana Slovenska,94015
15,Jednotná strana pracujúcich Slovenska,3574
16,Združenie robotníkov Slovenska,43809
17,Slovenská národná jednota,4688
