Subject Number,Subject Name,Valid Votes
0,No valid vote,1819010
1,Strana TIP,18845
2,STRANA MODERNÉHO SLOVENSKA (SMS),4559
3,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO - NOVA),287611
4,Demokrati Slovenska - Ľudo Kaník,1998
5,ŠANCA,6522
6,SME RODINA - Boris Kollár,172860
7,Strana zelených Slovenska,17541
8,KOALÍCIA SPOLOČNE ZA SLOVENSKO,1777
9,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,2426
10,VZDOR - strana práce,3182
11,MOST - HÍD,169593
12,Slovenská národná strana,225386
13,Odvaha - Veľká národná a proruská koalícia,3428
14,Komunistická strana Slovenska,16278
15,Slovenská demokratická a kresťanská únia - Demokratická strana,6938
16,SMER - sociálna demokracia,737481
17,Kresťanskodemokratické hnutie,128908
18,Slovenská občianska koalícia,21785
19,Kotleba - Ľudová strana Naše Slovensko,209779
20,#SIEŤ,146205
21,Strana maďarskej komunity - Magyar Közösség Pártja,105495
22,PRIAMA DEMOKRACIA,3595
23,Sloboda a Solidarita,315558
