iteration_number,party_number,lowest_samples
1,4,19851
1,24,21113
2,4,18034
2,24,19688
3,4,19889
3,24,21570
4,4,20159
4,24,21570
5,4,20049
5,24,21688
6,4,20526
6,24,21867
7,4,20509
7,24,21854
8,4,19877
8,24,21320
9,4,20193
9,24,21871
10,4,19998
10,24,21492
11,4,19756
11,24,21248
12,4,18367
12,24,20271
13,4,20528
13,24,21905
14,4,20109
14,24,21658
15,4,20367
15,24,21923
16,4,19829
16,24,21367
17,4,19986
17,24,21346
18,4,19573
18,24,21198
19,4,20216
19,24,21552
20,4,20939
20,24,22394
21,4,20160
21,24,22351
22,4,19980
22,24,21474
23,4,20905
23,24,22593
24,4,20873
24,24,22441
25,4,20259
25,24,21828
26,4,19542
26,24,21730
27,4,20130
27,24,21752
28,4,18811
28,24,20681
29,4,20297
29,24,21888
30,4,20338
30,24,21569
31,4,19951
31,24,21940
32,4,20607
32,24,22072
33,4,19913
33,24,21650
34,4,20656
34,24,21924
35,4,19749
35,24,21199
36,4,20399
36,24,21710
37,4,19694
37,24,21786
38,4,19292
38,24,20721
39,4,19936
39,24,21920
40,4,20136
40,24,21654
41,4,19792
41,24,20984
42,4,20163
42,24,21879
43,4,20307
43,24,21384
44,4,19978
44,24,21653
45,4,20139
45,24,21329
46,4,19819
46,24,21820
47,4,20337
47,24,21749
48,4,19939
48,24,21172
49,4,18514
49,24,20244
50,4,20165
50,24,21952
51,4,19659
51,24,21454
52,4,19554
52,24,21294
53,4,20086
53,24,21487
54,4,19571
54,24,21136
55,4,20056
55,24,21402
56,4,21288
56,24,23260
57,4,19925
57,24,21134
58,4,18106
58,24,19584
59,4,20243
59,24,21875
60,4,20581
60,24,21533
61,4,19565
61,24,21193
62,4,20032
62,24,21811
63,4,19894
63,24,21470
64,4,19766
64,24,21308
65,4,20233
65,24,22164
66,4,20194
66,24,21404
67,4,20160
67,24,21566
68,4,20020
68,24,21272
69,4,20574
69,24,22313
70,4,18997
70,24,20930
71,4,20173
71,24,21553
72,4,20330
72,24,21673
73,4,20102
73,24,21575
74,4,20420
74,24,22020
75,4,20249
75,24,21185
76,4,20058
76,24,21876
77,4,20707
77,24,22366
78,4,19853
78,24,21835
79,4,21351
79,24,23055
80,4,18243
80,24,19892
81,4,20035
81,24,21782
82,4,19440
82,24,20587
83,4,20210
83,24,21615
84,4,20598
84,24,22396
85,4,20033
85,24,21523
86,4,19726
86,24,21430
87,4,19839
87,24,20997
88,4,20114
88,24,22215
89,4,20330
89,24,21795
90,4,18514
90,24,20138
91,4,20153
91,24,21757
92,4,19840
92,24,21903
93,4,19696
93,24,21713
94,4,20215
94,24,21485
95,4,20257
95,24,21803
96,4,18685
96,24,20068
97,4,18339
97,24,20303
98,4,20362
98,24,22005
99,4,20277
99,24,21312
100,4,20016
100,24,21797
101,4,20353
101,24,22096
102,4,19600
102,24,21703
103,4,19839
103,24,21336
104,4,20198
104,24,21459
105,4,20047
105,24,21993
106,4,21845
106,24,23530
107,4,19097
107,24,20656
108,4,19972
108,24,21625
109,4,21166
109,24,22842
110,4,20455
110,24,22026
111,4,19686
111,24,21268
112,4,19421
112,24,21047
